tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ENSMUSG00000090025	-	-	ENSMUSG00000090025	Gm16088	-	chr1:3044313-3044814	-	-	0	0	0	OK
ENSMUSG00000064842	-	-	ENSMUSG00000064842	U6	-	chr1:3092096-3092206	-	-	0	0	0	OK
ENSMUSG00000089420	-	-	ENSMUSG00000089420	U7	-	chr1:3773817-3773879	-	-	0	0	0	OK
ENSMUSG00000088390	-	-	ENSMUSG00000088390	U7	-	chr1:3668960-3669024	-	-	0	0	0	OK
ENSMUSG00000088000	-	-	ENSMUSG00000088000	U6	-	chr1:4713357-4713460	-	-	0	0	0	OK
ENSMUSG00000064376	-	-	ENSMUSG00000064376	U6	-	chr1:4519097-4519204	-	-	0	0	0	OK
ENSMUSG00000093015	-	-	ENSMUSG00000093015	AC103663.1	-	chr1:5634725-5634826	-	-	0	0	0	OK
ENSMUSG00000025905	-	-	ENSMUSG00000025905	Oprk1	-	chr1:5578573-5596212	-	-	0	0	0	OK
ENSMUSG00000033774	-	-	ENSMUSG00000033774	Npbwr1	-	chr1:5903787-5907479	-	-	0	0	0	OK
ENSMUSG00000025902	-	-	ENSMUSG00000025902	Sox17	-	chr1:4481008-4486494	-	-	5.23039	4.338	6.12279	OK
ENSMUSG00000087247	-	-	ENSMUSG00000087247	Fam150a	-	chr1:6349536-6384812	-	-	0	0	0	OK
ENSMUSG00000033793	-	-	ENSMUSG00000033793	Atp6v1h	-	chr1:5073253-5152630	-	-	18.9899	17.3857	20.5941	OK
ENSMUSG00000033740	-	-	ENSMUSG00000033740	St18	-	chr1:6477311-6851021	-	-	0	0	0	OK
ENSMUSG00000077244	-	-	ENSMUSG00000077244	SNORA17	-	chr1:7255883-7256013	-	-	0	0	0	OK
ENSMUSG00000086461	-	-	ENSMUSG00000086461	Gm16899	-	chr1:7339486-7387882	-	-	0.754205	0.335847	1.17256	OK
ENSMUSG00000048538	-	-	ENSMUSG00000048538	Gm9826	-	chr1:7167819-7169118	-	-	0.453896	0.160821	0.74697	OK
ENSMUSG00000065625	-	-	ENSMUSG00000065625	U6	-	chr1:9448750-9448853	-	-	0	0	0	OK
ENSMUSG00000061024	-	-	ENSMUSG00000061024	Rrs1	-	chr1:9535488-9537535	-	-	13.4174	12.1695	14.6652	OK
ENSMUSG00000025909	-	-	ENSMUSG00000025909	Sntg1	-	chr1:8351555-9289959	-	-	0	0	0	OK
ENSMUSG00000086235	-	-	ENSMUSG00000086235	Gm16284	-	chr1:8458506-8458906	-	-	1.11348	0.204327	2.02263	OK
ENSMUSG00000076169	-	-	ENSMUSG00000076169	AC102703.1	-	chr1:8578695-8578805	-	-	0	0	0	OK
ENSMUSG00000084353	-	-	ENSMUSG00000084353	Gm15452	-	chr1:8782003-8782243	-	-	8.19194	3.64787	12.736	OK
ENSMUSG00000076135	-	-	ENSMUSG00000076135	AC163389.1	-	chr1:8806218-8806328	-	-	0	0	0	OK
ENSMUSG00000086195	-	-	ENSMUSG00000086195	Gm6152	-	chr1:8846008-8846348	-	-	0	0	0	OK
ENSMUSG00000066693	-	-	ENSMUSG00000066693	Gm7493	-	chr1:8953076-8953702	-	-	0	0	0	OK
ENSMUSG00000093178	-	-	ENSMUSG00000093178	Snord87	-	chr1:9932543-9932630	-	-	0	0	0	OK
ENSMUSG00000065085	-	-	ENSMUSG00000065085	U6	-	chr1:9999894-9999998	-	-	0	0	0	OK
